LineNo,TokenNo,CTS-URN,Sentence-URN,Sentence-Seq,Token-URN,Token-Seq,Head-Token-URN,Surface-Form,Lemma,POS1-PoS,POS2-Person,POS3-Number,POS4-Tense,POS5-Mood,POS6-Voice,POS7-Gender,POS8-Case,POS9-Degree,Head-Token-Lemma,Relation,Who-Said-It,Lsj-URN
2,2,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:2.2,urn:cite2:fuSyntax:0011004sentences.v1:2386546,1,urn:cite2:fuSyntax:0011004tokens.v1:2386546_11,11,urn:cite2:fuSyntax:0011004tokens.v1:2386546_10,ποθʼ,ποτέ1,urn:cite2:fuSyntax:pos.v1:particle,null,null,null,null,null,null,null,null,τις1,AuxZ,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n85971
2,3,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:2.3,urn:cite2:fuSyntax:0011004sentences.v1:2386546,1,urn:cite2:fuSyntax:0011004tokens.v1:2386546_12,12,urn:cite2:fuSyntax:0011004tokens.v1:2386546_15,ἕδρας,ἕδρα1,urn:cite2:fuSyntax:pos.v1:noun,null,urn:cite2:fuSyntax:number.v1:plural,null,null,null,urn:cite2:fuSyntax:gender.v1:feminine,urn:cite2:fuSyntax:case.v1:accusative,null,θοάζω1,OBJ,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n30700
2,4,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:2.4,urn:cite2:fuSyntax:0011004sentences.v1:2386546,1,urn:cite2:fuSyntax:0011004tokens.v1:2386546_13,13,urn:cite2:fuSyntax:0011004tokens.v1:2386546_12,τάσδε,ὅδε1,urn:cite2:fuSyntax:pos.v1:pronoun,null,urn:cite2:fuSyntax:number.v1:plural,null,null,null,urn:cite2:fuSyntax:gender.v1:feminine,urn:cite2:fuSyntax:case.v1:accusative,null,ἕδρα1,ATR,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n72010
2,5,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:2.5,urn:cite2:fuSyntax:0011004sentences.v1:2386546,1,urn:cite2:fuSyntax:0011004tokens.v1:2386546_14,14,urn:cite2:fuSyntax:0011004tokens.v1:2386546_15,μοι,ἐγώ1,urn:cite2:fuSyntax:pos.v1:pronoun,null,urn:cite2:fuSyntax:number.v1:singular,null,null,null,urn:cite2:fuSyntax:gender.v1:masculine,urn:cite2:fuSyntax:case.v1:dative,null,θοάζω1,ADV,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n30657
2,6,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:2.6,urn:cite2:fuSyntax:0011004sentences.v1:2386546,1,urn:cite2:fuSyntax:0011004tokens.v1:2386546_15,15,urn:cite2:fuSyntax:0011004tokens.v1:2386546_0,θοάζετε,θοάζω1,urn:cite2:fuSyntax:pos.v1:verb,urn:cite2:fuSyntax:person.v1:second_person,urn:cite2:fuSyntax:number.v1:plural,urn:cite2:fuSyntax:tense.v1:present,urn:cite2:fuSyntax:mood.v1:indicative,urn:cite2:fuSyntax:voice.v1:active,null,null,null,-,PRED,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n48913
3,1,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:3.1,urn:cite2:fuSyntax:0011004sentences.v1:2386546,1,urn:cite2:fuSyntax:0011004tokens.v1:2386546_16,16,urn:cite2:fuSyntax:0011004tokens.v1:2386546_17,ἱκτηρίοις,ἱκετήριος1,urn:cite2:fuSyntax:pos.v1:adjective,null,urn:cite2:fuSyntax:number.v1:plural,null,null,null,urn:cite2:fuSyntax:gender.v1:masculine,urn:cite2:fuSyntax:case.v1:dative,null,κλάδος1,ATR,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n50258
3,2,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:3.2,urn:cite2:fuSyntax:0011004sentences.v1:2386546,1,urn:cite2:fuSyntax:0011004tokens.v1:2386546_17,17,urn:cite2:fuSyntax:0011004tokens.v1:2386546_18,κλάδοισιν,κλάδος1,urn:cite2:fuSyntax:pos.v1:noun,null,urn:cite2:fuSyntax:number.v1:plural,null,null,null,urn:cite2:fuSyntax:gender.v1:masculine,urn:cite2:fuSyntax:case.v1:dative,null,ἐκστέφω1,ADV,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n57675
3,3,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:3.3,urn:cite2:fuSyntax:0011004sentences.v1:2386546,1,urn:cite2:fuSyntax:0011004tokens.v1:2386546_18,18,urn:cite2:fuSyntax:0011004tokens.v1:2386546_15,ἐξεστεμμένοι,ἐκστέφω1,urn:cite2:fuSyntax:pos.v1:participle,null,urn:cite2:fuSyntax:number.v1:plural,urn:cite2:fuSyntax:tense.v1:perfect,urn:cite2:fuSyntax:mood.v1:participial,urn:cite2:fuSyntax:voice.v1:medio_passive,urn:cite2:fuSyntax:gender.v1:masculine,urn:cite2:fuSyntax:case.v1:nominative,null,θοάζω1,ADV,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n32907
3,4,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:3.4,urn:cite2:fuSyntax:0011004sentences.v1:2386546,1,urn:cite2:fuSyntax:0011004tokens.v1:2386546_19,19,urn:cite2:fuSyntax:0011004tokens.v1:2386546_0,;,punc1,urn:cite2:fuSyntax:pos.v1:punctuation,null,null,null,null,null,null,null,null,-,AuxK,Οἰδίπους,null
4,1,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:4.1,urn:cite2:fuSyntax:0011004sentences.v1:2386547,2,urn:cite2:fuSyntax:0011004tokens.v1:2386547_1,20,urn:cite2:fuSyntax:0011004tokens.v1:2386547_6,πόλις,πόλις1,urn:cite2:fuSyntax:pos.v1:noun,null,urn:cite2:fuSyntax:number.v1:singular,null,null,null,urn:cite2:fuSyntax:gender.v1:feminine,urn:cite2:fuSyntax:case.v1:nominative,null,γέμω1,SBJ,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n84494
4,2,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:4.2,urn:cite2:fuSyntax:0011004sentences.v1:2386547,2,urn:cite2:fuSyntax:0011004tokens.v1:2386547_2,21,urn:cite2:fuSyntax:0011004tokens.v1:2386547_6,δʼ,δέ1,urn:cite2:fuSyntax:pos.v1:particle,null,null,null,null,null,null,null,null,γέμω1,AuxY,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n23596
4,3,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:4.3,urn:cite2:fuSyntax:0011004sentences.v1:2386547,2,urn:cite2:fuSyntax:0011004tokens.v1:2386547_3,22,urn:cite2:fuSyntax:0011004tokens.v1:2386547_4,ὁμοῦ,ὁμοῦ1,urn:cite2:fuSyntax:pos.v1:adverb,null,null,null,null,null,null,null,null,μέν1,AuxZ,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n73881
4,4,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:4.4,urn:cite2:fuSyntax:0011004sentences.v1:2386547,2,urn:cite2:fuSyntax:0011004tokens.v1:2386547_4,23,urn:cite2:fuSyntax:0011004tokens.v1:2386547_9,μὲν,μέν1,urn:cite2:fuSyntax:pos.v1:particle,null,null,null,null,null,null,null,null,δέ1,AuxY,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n66260
4,5,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:4.5,urn:cite2:fuSyntax:0011004sentences.v1:2386547,2,urn:cite2:fuSyntax:0011004tokens.v1:2386547_5,24,urn:cite2:fuSyntax:0011004tokens.v1:2386547_9,θυμιαμάτων,θυμίαμα1,urn:cite2:fuSyntax:pos.v1:noun,null,urn:cite2:fuSyntax:number.v1:plural,null,null,null,urn:cite2:fuSyntax:gender.v1:neuter,urn:cite2:fuSyntax:case.v1:genitive,null,δέ1,OBJ_CO,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n49377
4,6,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:4.6,urn:cite2:fuSyntax:0011004sentences.v1:2386547,2,urn:cite2:fuSyntax:0011004tokens.v1:2386547_6,25,urn:cite2:fuSyntax:0011004tokens.v1:2386547_0,γέμει,γέμω1,urn:cite2:fuSyntax:pos.v1:verb,urn:cite2:fuSyntax:person.v1:third_person,urn:cite2:fuSyntax:number.v1:singular,urn:cite2:fuSyntax:tense.v1:present,urn:cite2:fuSyntax:mood.v1:indicative,urn:cite2:fuSyntax:voice.v1:active,null,null,null,-,PRED,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n21827
4,7,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:4.7,urn:cite2:fuSyntax:0011004sentences.v1:2386547,2,urn:cite2:fuSyntax:0011004tokens.v1:2386547_7,26,urn:cite2:fuSyntax:0011004tokens.v1:2386547_9,",",comma1,urn:cite2:fuSyntax:pos.v1:punctuation,null,null,null,null,null,null,null,null,δέ1,AuxX,Οἰδίπους,null
5,1,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:5.1,urn:cite2:fuSyntax:0011004sentences.v1:2386547,2,urn:cite2:fuSyntax:0011004tokens.v1:2386547_8,27,urn:cite2:fuSyntax:0011004tokens.v1:2386547_9,ὁμοῦ,ὁμοῦ1,urn:cite2:fuSyntax:pos.v1:adverb,null,null,null,null,null,null,null,null,δέ1,AuxZ,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n73881
5,2,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:5.2,urn:cite2:fuSyntax:0011004sentences.v1:2386547,2,urn:cite2:fuSyntax:0011004tokens.v1:2386547_9,28,urn:cite2:fuSyntax:0011004tokens.v1:2386547_6,δὲ,δέ1,urn:cite2:fuSyntax:pos.v1:particle,null,null,null,null,null,null,null,null,γέμω1,COORD,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n23596
5,3,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:5.3,urn:cite2:fuSyntax:0011004sentences.v1:2386547,2,urn:cite2:fuSyntax:0011004tokens.v1:2386547_10,29,urn:cite2:fuSyntax:0011004tokens.v1:2386547_12,παιάνων,Παιάν1,urn:cite2:fuSyntax:pos.v1:noun,null,urn:cite2:fuSyntax:number.v1:plural,null,null,null,urn:cite2:fuSyntax:gender.v1:masculine,urn:cite2:fuSyntax:case.v1:genitive,null,καί1,OBJ_CO,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n76532
5,4,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:5.4,urn:cite2:fuSyntax:0011004sentences.v1:2386547,2,urn:cite2:fuSyntax:0011004tokens.v1:2386547_11,30,urn:cite2:fuSyntax:0011004tokens.v1:2386547_12,τε,τε1,urn:cite2:fuSyntax:pos.v1:particle,null,null,null,null,null,null,null,null,καί1,AuxY,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n102752
5,5,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:5.5,urn:cite2:fuSyntax:0011004sentences.v1:2386547,2,urn:cite2:fuSyntax:0011004tokens.v1:2386547_12,31,urn:cite2:fuSyntax:0011004tokens.v1:2386547_9,καὶ,καί1,urn:cite2:fuSyntax:pos.v1:conjunction,null,null,null,null,null,null,null,null,δέ1,COORD,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n51951
5,6,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:5.6,urn:cite2:fuSyntax:0011004sentences.v1:2386547,2,urn:cite2:fuSyntax:0011004tokens.v1:2386547_13,32,urn:cite2:fuSyntax:0011004tokens.v1:2386547_12,στεναγμάτων,στέναγμα1,urn:cite2:fuSyntax:pos.v1:noun,null,urn:cite2:fuSyntax:number.v1:plural,null,null,null,urn:cite2:fuSyntax:gender.v1:neuter,urn:cite2:fuSyntax:case.v1:genitive,null,καί1,OBJ_CO,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n96466
5,7,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:5.7,urn:cite2:fuSyntax:0011004sentences.v1:2386547,2,urn:cite2:fuSyntax:0011004tokens.v1:2386547_14,33,urn:cite2:fuSyntax:0011004tokens.v1:2386547_0,:,punc1,urn:cite2:fuSyntax:pos.v1:punctuation,null,null,null,null,null,null,null,null,-,AuxK,Οἰδίπους,null
6,1,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:6.1,urn:cite2:fuSyntax:0011004sentences.v1:2386548,3,urn:cite2:fuSyntax:0011004tokens.v1:2386548_1,34,urn:cite2:fuSyntax:0011004tokens.v1:2386548_14,ἁγὼ,ἐγώ1,urn:cite2:fuSyntax:pos.v1:pronoun,null,urn:cite2:fuSyntax:number.v1:singular,null,null,null,urn:cite2:fuSyntax:gender.v1:masculine,urn:cite2:fuSyntax:case.v1:nominative,null,comma1,SBJ_AP,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n30657
6,2,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:6.2,urn:cite2:fuSyntax:0011004sentences.v1:2386548,3,urn:cite2:fuSyntax:0011004tokens.v1:2386548_2,35,urn:cite2:fuSyntax:0011004tokens.v1:2386548_13,δικαιῶν,δικαιόω1,urn:cite2:fuSyntax:pos.v1:participle,null,urn:cite2:fuSyntax:number.v1:singular,urn:cite2:fuSyntax:tense.v1:present,urn:cite2:fuSyntax:mood.v1:participial,urn:cite2:fuSyntax:voice.v1:active,urn:cite2:fuSyntax:gender.v1:masculine,urn:cite2:fuSyntax:case.v1:nominative,null,ἔρχομαι1,ADV,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n26891
6,3,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:6.3,urn:cite2:fuSyntax:0011004sentences.v1:2386548,3,urn:cite2:fuSyntax:0011004tokens.v1:2386548_3,36,urn:cite2:fuSyntax:0011004tokens.v1:2386548_2,μὴ,μή1,urn:cite2:fuSyntax:pos.v1:particle,null,null,null,null,null,null,null,null,δικαιόω1,AuxZ,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n67283
6,4,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:6.4,urn:cite2:fuSyntax:0011004sentences.v1:2386548,3,urn:cite2:fuSyntax:0011004tokens.v1:2386548_4,37,urn:cite2:fuSyntax:0011004tokens.v1:2386548_10,παρʼ,παρά1,urn:cite2:fuSyntax:pos.v1:preposition,null,null,null,null,null,null,null,null,ἀκούω1,AuxP,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n77763
6,5,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:6.5,urn:cite2:fuSyntax:0011004sentences.v1:2386548,3,urn:cite2:fuSyntax:0011004tokens.v1:2386548_5,38,urn:cite2:fuSyntax:0011004tokens.v1:2386548_4,ἀγγέλων,ἄγγελος1,urn:cite2:fuSyntax:pos.v1:noun,null,urn:cite2:fuSyntax:number.v1:plural,null,null,null,urn:cite2:fuSyntax:gender.v1:masculine,urn:cite2:fuSyntax:case.v1:genitive,null,παρά1,OBJ,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n397
6,6,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:6.6,urn:cite2:fuSyntax:0011004sentences.v1:2386548,3,urn:cite2:fuSyntax:0011004tokens.v1:2386548_6,39,urn:cite2:fuSyntax:0011004tokens.v1:2386548_7,",",comma1,urn:cite2:fuSyntax:pos.v1:punctuation,null,null,null,null,null,null,null,null,τέκνον1,AuxX,Οἰδίπους,null
6,7,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:6.7,urn:cite2:fuSyntax:0011004sentences.v1:2386548,3,urn:cite2:fuSyntax:0011004tokens.v1:2386548_7,40,urn:cite2:fuSyntax:0011004tokens.v1:2386548_13,τέκνα,τέκνον1,urn:cite2:fuSyntax:pos.v1:noun,null,urn:cite2:fuSyntax:number.v1:plural,null,null,null,urn:cite2:fuSyntax:gender.v1:neuter,urn:cite2:fuSyntax:case.v1:vocative,null,ἔρχομαι1,ExD,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n102869
6,8,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:6.8,urn:cite2:fuSyntax:0011004sentences.v1:2386548,3,urn:cite2:fuSyntax:0011004tokens.v1:2386548_8,41,urn:cite2:fuSyntax:0011004tokens.v1:2386548_7,",",comma1,urn:cite2:fuSyntax:pos.v1:punctuation,null,null,null,null,null,null,null,null,τέκνον1,AuxX,Οἰδίπους,null
7,1,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:7.1,urn:cite2:fuSyntax:0011004sentences.v1:2386548,3,urn:cite2:fuSyntax:0011004tokens.v1:2386548_9,42,urn:cite2:fuSyntax:0011004tokens.v1:2386548_5,ἄλλων,ἄλλος1,urn:cite2:fuSyntax:pos.v1:adjective,null,urn:cite2:fuSyntax:number.v1:plural,null,null,null,urn:cite2:fuSyntax:gender.v1:masculine,urn:cite2:fuSyntax:case.v1:genitive,null,ἄγγελος1,ATR,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n4490
7,2,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:7.2,urn:cite2:fuSyntax:0011004sentences.v1:2386548,3,urn:cite2:fuSyntax:0011004tokens.v1:2386548_10,43,urn:cite2:fuSyntax:0011004tokens.v1:2386548_2,ἀκούειν,ἀκούω1,urn:cite2:fuSyntax:pos.v1:verb,null,null,urn:cite2:fuSyntax:tense.v1:present,urn:cite2:fuSyntax:mood.v1:infinitive,urn:cite2:fuSyntax:voice.v1:active,null,null,null,δικαιόω1,OBJ,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n3398
7,3,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:7.3,urn:cite2:fuSyntax:0011004sentences.v1:2386548,3,urn:cite2:fuSyntax:0011004tokens.v1:2386548_11,44,urn:cite2:fuSyntax:0011004tokens.v1:2386548_13,αὐτὸς,αὐτός1,urn:cite2:fuSyntax:pos.v1:adjective,null,urn:cite2:fuSyntax:number.v1:singular,null,null,null,urn:cite2:fuSyntax:gender.v1:masculine,urn:cite2:fuSyntax:case.v1:nominative,null,ἔρχομαι1,AtvV,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n17907
7,4,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:7.4,urn:cite2:fuSyntax:0011004sentences.v1:2386548,3,urn:cite2:fuSyntax:0011004tokens.v1:2386548_12,45,urn:cite2:fuSyntax:0011004tokens.v1:2386548_13,ὧδʼ,ὧδε1,urn:cite2:fuSyntax:pos.v1:adverb,null,null,null,null,null,null,null,null,ἔρχομαι1,ADV,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n116050
7,5,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:7.5,urn:cite2:fuSyntax:0011004sentences.v1:2386548,3,urn:cite2:fuSyntax:0011004tokens.v1:2386548_13,46,urn:cite2:fuSyntax:0011004tokens.v1:2386548_0,ἐλήλυθα,ἔρχομαι1,urn:cite2:fuSyntax:pos.v1:verb,urn:cite2:fuSyntax:person.v1:first_person,urn:cite2:fuSyntax:number.v1:singular,urn:cite2:fuSyntax:tense.v1:perfect,urn:cite2:fuSyntax:mood.v1:indicative,urn:cite2:fuSyntax:voice.v1:active,null,null,null,-,PRED,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n42827
7,6,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:7.6,urn:cite2:fuSyntax:0011004sentences.v1:2386548,3,urn:cite2:fuSyntax:0011004tokens.v1:2386548_14,47,urn:cite2:fuSyntax:0011004tokens.v1:2386548_13,",",comma1,urn:cite2:fuSyntax:pos.v1:punctuation,null,null,null,null,null,null,null,null,ἔρχομαι1,APOS,Οἰδίπους,null
8,1,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:8.1,urn:cite2:fuSyntax:0011004sentences.v1:2386548,3,urn:cite2:fuSyntax:0011004tokens.v1:2386548_15,48,urn:cite2:fuSyntax:0011004tokens.v1:2386548_19,ὁ,ὁ1,urn:cite2:fuSyntax:pos.v1:article,null,urn:cite2:fuSyntax:number.v1:singular,null,null,null,urn:cite2:fuSyntax:gender.v1:masculine,urn:cite2:fuSyntax:case.v1:nominative,null,καλέω1,ATR,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n71882
8,2,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:8.2,urn:cite2:fuSyntax:0011004sentences.v1:2386548,3,urn:cite2:fuSyntax:0011004tokens.v1:2386548_16,49,urn:cite2:fuSyntax:0011004tokens.v1:2386548_19,πᾶσι,πᾶς1,urn:cite2:fuSyntax:pos.v1:adjective,null,urn:cite2:fuSyntax:number.v1:plural,null,null,null,urn:cite2:fuSyntax:gender.v1:masculine,urn:cite2:fuSyntax:case.v1:dative,null,καλέω1,OBJ,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n79904
8,3,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:8.3,urn:cite2:fuSyntax:0011004sentences.v1:2386548,3,urn:cite2:fuSyntax:0011004tokens.v1:2386548_17,50,urn:cite2:fuSyntax:0011004tokens.v1:2386548_18,κλεινὸς,κλεινός1,urn:cite2:fuSyntax:pos.v1:adjective,null,urn:cite2:fuSyntax:number.v1:singular,null,null,null,urn:cite2:fuSyntax:gender.v1:masculine,urn:cite2:fuSyntax:case.v1:nominative,null,Οἰδίπους1,ATR,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n57768
8,4,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:8.4,urn:cite2:fuSyntax:0011004sentences.v1:2386548,3,urn:cite2:fuSyntax:0011004tokens.v1:2386548_18,51,urn:cite2:fuSyntax:0011004tokens.v1:2386548_19,Οἰδίπους,Οἰδίπους1,urn:cite2:fuSyntax:pos.v1:noun,null,urn:cite2:fuSyntax:number.v1:singular,null,null,null,urn:cite2:fuSyntax:gender.v1:masculine,urn:cite2:fuSyntax:case.v1:nominative,null,καλέω1,PNOM,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n72214
