LineNo,TokenNo,CTS-URN,Sentence-URN,Sentence-Seq,Token-URN,Token-Seq,Head-Token-URN,Surface-Form,Lemma,POS1-PoS,POS2-Person,POS3-Number,POS4-Tense,POS5-Mood,POS6-Voice,POS7-Gender,POS8-Case,POS9-Degree,Head-Token-Lemma,Relation,Who-Said-It
2,2,urn:cts:greekLit:tlg0011.tlg004.fu04:2.2,urn:cite2:fuSyntax:0011004sentences.v1:2386546,1,urn:cite2:fuSyntax:0011004tokens.v1:2386546_11,11,urn:cite2:fuSyntax:0011004tokens.v1:2386546_10,ποθʼ,ποτέ1,urn:cite2:fuSyntax:pos.v1:particle,null,null,null,null,null,null,null,null,τις1,AuxZ,Οἰδίπους
2,3,urn:cts:greekLit:tlg0011.tlg004.fu04:2.3,urn:cite2:fuSyntax:0011004sentences.v1:2386546,1,urn:cite2:fuSyntax:0011004tokens.v1:2386546_12,12,urn:cite2:fuSyntax:0011004tokens.v1:2386546_15,ἕδρας,ἕδρα1,urn:cite2:fuSyntax:pos.v1:noun,null,urn:cite2:fuSyntax:number.v1:plural,null,null,null,urn:cite2:fuSyntax:gender.v1:feminine,urn:cite2:fuSyntax:case.v1:accusative,null,θοάζω1,OBJ,Οἰδίπους
2,4,urn:cts:greekLit:tlg0011.tlg004.fu04:2.4,urn:cite2:fuSyntax:0011004sentences.v1:2386546,1,urn:cite2:fuSyntax:0011004tokens.v1:2386546_13,13,urn:cite2:fuSyntax:0011004tokens.v1:2386546_12,τάσδε,ὅδε1,urn:cite2:fuSyntax:pos.v1:pronoun,null,urn:cite2:fuSyntax:number.v1:plural,null,null,null,urn:cite2:fuSyntax:gender.v1:feminine,urn:cite2:fuSyntax:case.v1:accusative,null,ἕδρα1,ATR,Οἰδίπους
2,5,urn:cts:greekLit:tlg0011.tlg004.fu04:2.5,urn:cite2:fuSyntax:0011004sentences.v1:2386546,1,urn:cite2:fuSyntax:0011004tokens.v1:2386546_14,14,urn:cite2:fuSyntax:0011004tokens.v1:2386546_15,μοι,ἐγώ1,urn:cite2:fuSyntax:pos.v1:pronoun,null,urn:cite2:fuSyntax:number.v1:singular,null,null,null,urn:cite2:fuSyntax:gender.v1:masculine,urn:cite2:fuSyntax:case.v1:dative,null,θοάζω1,ADV,Οἰδίπους
2,6,urn:cts:greekLit:tlg0011.tlg004.fu04:2.6,urn:cite2:fuSyntax:0011004sentences.v1:2386546,1,urn:cite2:fuSyntax:0011004tokens.v1:2386546_15,15,urn:cite2:fuSyntax:0011004tokens.v1:2386546_0,θοάζετε,θοάζω1,urn:cite2:fuSyntax:pos.v1:verb,urn:cite2:fuSyntax:person.v1:second_person,urn:cite2:fuSyntax:number.v1:plural,urn:cite2:fuSyntax:tense.v1:present,urn:cite2:fuSyntax:mood.v1:indicative,urn:cite2:fuSyntax:voice.v1:active,null,null,null,-,PRED,Οἰδίπους
3,1,urn:cts:greekLit:tlg0011.tlg004.fu04:3.1,urn:cite2:fuSyntax:0011004sentences.v1:2386546,1,urn:cite2:fuSyntax:0011004tokens.v1:2386546_16,16,urn:cite2:fuSyntax:0011004tokens.v1:2386546_17,ἱκτηρίοις,ἱκετήριος1,urn:cite2:fuSyntax:pos.v1:adjective,null,urn:cite2:fuSyntax:number.v1:plural,null,null,null,urn:cite2:fuSyntax:gender.v1:masculine,urn:cite2:fuSyntax:case.v1:dative,null,κλάδος1,ATR,Οἰδίπους
3,2,urn:cts:greekLit:tlg0011.tlg004.fu04:3.2,urn:cite2:fuSyntax:0011004sentences.v1:2386546,1,urn:cite2:fuSyntax:0011004tokens.v1:2386546_17,17,urn:cite2:fuSyntax:0011004tokens.v1:2386546_18,κλάδοισιν,κλάδος1,urn:cite2:fuSyntax:pos.v1:noun,null,urn:cite2:fuSyntax:number.v1:plural,null,null,null,urn:cite2:fuSyntax:gender.v1:masculine,urn:cite2:fuSyntax:case.v1:dative,null,ἐκστέφω1,ADV,Οἰδίπους
3,3,urn:cts:greekLit:tlg0011.tlg004.fu04:3.3,urn:cite2:fuSyntax:0011004sentences.v1:2386546,1,urn:cite2:fuSyntax:0011004tokens.v1:2386546_18,18,urn:cite2:fuSyntax:0011004tokens.v1:2386546_15,ἐξεστεμμένοι,ἐκστέφω1,urn:cite2:fuSyntax:pos.v1:participle,null,urn:cite2:fuSyntax:number.v1:plural,urn:cite2:fuSyntax:tense.v1:perfect,urn:cite2:fuSyntax:mood.v1:participial,urn:cite2:fuSyntax:voice.v1:medio_passive,urn:cite2:fuSyntax:gender.v1:masculine,urn:cite2:fuSyntax:case.v1:nominative,null,θοάζω1,ADV,Οἰδίπους
3,4,urn:cts:greekLit:tlg0011.tlg004.fu04:3.4,urn:cite2:fuSyntax:0011004sentences.v1:2386546,1,urn:cite2:fuSyntax:0011004tokens.v1:2386546_19,19,urn:cite2:fuSyntax:0011004tokens.v1:2386546_0,;,punc1,urn:cite2:fuSyntax:pos.v1:punctuation,null,null,null,null,null,null,null,null,-,AuxK,Οἰδίπους
4,1,urn:cts:greekLit:tlg0011.tlg004.fu04:4.1,urn:cite2:fuSyntax:0011004sentences.v1:2386547,2,urn:cite2:fuSyntax:0011004tokens.v1:2386547_1,20,urn:cite2:fuSyntax:0011004tokens.v1:2386547_6,πόλις,πόλις1,urn:cite2:fuSyntax:pos.v1:noun,null,urn:cite2:fuSyntax:number.v1:singular,null,null,null,urn:cite2:fuSyntax:gender.v1:feminine,urn:cite2:fuSyntax:case.v1:nominative,null,γέμω1,SBJ,Οἰδίπους
4,2,urn:cts:greekLit:tlg0011.tlg004.fu04:4.2,urn:cite2:fuSyntax:0011004sentences.v1:2386547,2,urn:cite2:fuSyntax:0011004tokens.v1:2386547_2,21,urn:cite2:fuSyntax:0011004tokens.v1:2386547_6,δʼ,δέ1,urn:cite2:fuSyntax:pos.v1:particle,null,null,null,null,null,null,null,null,γέμω1,AuxY,Οἰδίπους
4,3,urn:cts:greekLit:tlg0011.tlg004.fu04:4.3,urn:cite2:fuSyntax:0011004sentences.v1:2386547,2,urn:cite2:fuSyntax:0011004tokens.v1:2386547_3,22,urn:cite2:fuSyntax:0011004tokens.v1:2386547_4,ὁμοῦ,ὁμοῦ1,urn:cite2:fuSyntax:pos.v1:adverb,null,null,null,null,null,null,null,null,μέν1,AuxZ,Οἰδίπους
4,4,urn:cts:greekLit:tlg0011.tlg004.fu04:4.4,urn:cite2:fuSyntax:0011004sentences.v1:2386547,2,urn:cite2:fuSyntax:0011004tokens.v1:2386547_4,23,urn:cite2:fuSyntax:0011004tokens.v1:2386547_9,μὲν,μέν1,urn:cite2:fuSyntax:pos.v1:particle,null,null,null,null,null,null,null,null,δέ1,AuxY,Οἰδίπους
4,5,urn:cts:greekLit:tlg0011.tlg004.fu04:4.5,urn:cite2:fuSyntax:0011004sentences.v1:2386547,2,urn:cite2:fuSyntax:0011004tokens.v1:2386547_5,24,urn:cite2:fuSyntax:0011004tokens.v1:2386547_9,θυμιαμάτων,θυμίαμα1,urn:cite2:fuSyntax:pos.v1:noun,null,urn:cite2:fuSyntax:number.v1:plural,null,null,null,urn:cite2:fuSyntax:gender.v1:neuter,urn:cite2:fuSyntax:case.v1:genitive,null,δέ1,OBJ_CO,Οἰδίπους
4,6,urn:cts:greekLit:tlg0011.tlg004.fu04:4.6,urn:cite2:fuSyntax:0011004sentences.v1:2386547,2,urn:cite2:fuSyntax:0011004tokens.v1:2386547_6,25,urn:cite2:fuSyntax:0011004tokens.v1:2386547_0,γέμει,γέμω1,urn:cite2:fuSyntax:pos.v1:verb,urn:cite2:fuSyntax:person.v1:third_person,urn:cite2:fuSyntax:number.v1:singular,urn:cite2:fuSyntax:tense.v1:present,urn:cite2:fuSyntax:mood.v1:indicative,urn:cite2:fuSyntax:voice.v1:active,null,null,null,-,PRED,Οἰδίπους
4,7,urn:cts:greekLit:tlg0011.tlg004.fu04:4.7,urn:cite2:fuSyntax:0011004sentences.v1:2386547,2,urn:cite2:fuSyntax:0011004tokens.v1:2386547_7,26,urn:cite2:fuSyntax:0011004tokens.v1:2386547_9,",",comma1,urn:cite2:fuSyntax:pos.v1:punctuation,null,null,null,null,null,null,null,null,δέ1,AuxX,Οἰδίπους
5,1,urn:cts:greekLit:tlg0011.tlg004.fu04:5.1,urn:cite2:fuSyntax:0011004sentences.v1:2386547,2,urn:cite2:fuSyntax:0011004tokens.v1:2386547_8,27,urn:cite2:fuSyntax:0011004tokens.v1:2386547_9,ὁμοῦ,ὁμοῦ1,urn:cite2:fuSyntax:pos.v1:adverb,null,null,null,null,null,null,null,null,δέ1,AuxZ,Οἰδίπους
5,2,urn:cts:greekLit:tlg0011.tlg004.fu04:5.2,urn:cite2:fuSyntax:0011004sentences.v1:2386547,2,urn:cite2:fuSyntax:0011004tokens.v1:2386547_9,28,urn:cite2:fuSyntax:0011004tokens.v1:2386547_6,δὲ,δέ1,urn:cite2:fuSyntax:pos.v1:particle,null,null,null,null,null,null,null,null,γέμω1,COORD,Οἰδίπους
5,3,urn:cts:greekLit:tlg0011.tlg004.fu04:5.3,urn:cite2:fuSyntax:0011004sentences.v1:2386547,2,urn:cite2:fuSyntax:0011004tokens.v1:2386547_10,29,urn:cite2:fuSyntax:0011004tokens.v1:2386547_12,παιάνων,Παιάν1,urn:cite2:fuSyntax:pos.v1:noun,null,urn:cite2:fuSyntax:number.v1:plural,null,null,null,urn:cite2:fuSyntax:gender.v1:masculine,urn:cite2:fuSyntax:case.v1:genitive,null,καί1,OBJ_CO,Οἰδίπους
5,4,urn:cts:greekLit:tlg0011.tlg004.fu04:5.4,urn:cite2:fuSyntax:0011004sentences.v1:2386547,2,urn:cite2:fuSyntax:0011004tokens.v1:2386547_11,30,urn:cite2:fuSyntax:0011004tokens.v1:2386547_12,τε,τε1,urn:cite2:fuSyntax:pos.v1:particle,null,null,null,null,null,null,null,null,καί1,AuxY,Οἰδίπους
5,5,urn:cts:greekLit:tlg0011.tlg004.fu04:5.5,urn:cite2:fuSyntax:0011004sentences.v1:2386547,2,urn:cite2:fuSyntax:0011004tokens.v1:2386547_12,31,urn:cite2:fuSyntax:0011004tokens.v1:2386547_9,καὶ,καί1,urn:cite2:fuSyntax:pos.v1:conjunction,null,null,null,null,null,null,null,null,δέ1,COORD,Οἰδίπους
5,6,urn:cts:greekLit:tlg0011.tlg004.fu04:5.6,urn:cite2:fuSyntax:0011004sentences.v1:2386547,2,urn:cite2:fuSyntax:0011004tokens.v1:2386547_13,32,urn:cite2:fuSyntax:0011004tokens.v1:2386547_12,στεναγμάτων,στέναγμα1,urn:cite2:fuSyntax:pos.v1:noun,null,urn:cite2:fuSyntax:number.v1:plural,null,null,null,urn:cite2:fuSyntax:gender.v1:neuter,urn:cite2:fuSyntax:case.v1:genitive,null,καί1,OBJ_CO,Οἰδίπους
5,7,urn:cts:greekLit:tlg0011.tlg004.fu04:5.7,urn:cite2:fuSyntax:0011004sentences.v1:2386547,2,urn:cite2:fuSyntax:0011004tokens.v1:2386547_14,33,urn:cite2:fuSyntax:0011004tokens.v1:2386547_0,:,punc1,urn:cite2:fuSyntax:pos.v1:punctuation,null,null,null,null,null,null,null,null,-,AuxK,Οἰδίπους
6,1,urn:cts:greekLit:tlg0011.tlg004.fu04:6.1,urn:cite2:fuSyntax:0011004sentences.v1:2386548,3,urn:cite2:fuSyntax:0011004tokens.v1:2386548_1,34,urn:cite2:fuSyntax:0011004tokens.v1:2386548_14,ἁγὼ,ἐγώ1,urn:cite2:fuSyntax:pos.v1:pronoun,null,urn:cite2:fuSyntax:number.v1:singular,null,null,null,urn:cite2:fuSyntax:gender.v1:masculine,urn:cite2:fuSyntax:case.v1:nominative,null,comma1,SBJ_AP,Οἰδίπους
6,2,urn:cts:greekLit:tlg0011.tlg004.fu04:6.2,urn:cite2:fuSyntax:0011004sentences.v1:2386548,3,urn:cite2:fuSyntax:0011004tokens.v1:2386548_2,35,urn:cite2:fuSyntax:0011004tokens.v1:2386548_13,δικαιῶν,δικαιόω1,urn:cite2:fuSyntax:pos.v1:participle,null,urn:cite2:fuSyntax:number.v1:singular,urn:cite2:fuSyntax:tense.v1:present,urn:cite2:fuSyntax:mood.v1:participial,urn:cite2:fuSyntax:voice.v1:active,urn:cite2:fuSyntax:gender.v1:masculine,urn:cite2:fuSyntax:case.v1:nominative,null,ἔρχομαι1,ADV,Οἰδίπους
6,3,urn:cts:greekLit:tlg0011.tlg004.fu04:6.3,urn:cite2:fuSyntax:0011004sentences.v1:2386548,3,urn:cite2:fuSyntax:0011004tokens.v1:2386548_3,36,urn:cite2:fuSyntax:0011004tokens.v1:2386548_2,μὴ,μή1,urn:cite2:fuSyntax:pos.v1:particle,null,null,null,null,null,null,null,null,δικαιόω1,AuxZ,Οἰδίπους
6,4,urn:cts:greekLit:tlg0011.tlg004.fu04:6.4,urn:cite2:fuSyntax:0011004sentences.v1:2386548,3,urn:cite2:fuSyntax:0011004tokens.v1:2386548_4,37,urn:cite2:fuSyntax:0011004tokens.v1:2386548_10,παρʼ,παρά1,urn:cite2:fuSyntax:pos.v1:preposition,null,null,null,null,null,null,null,null,ἀκούω1,AuxP,Οἰδίπους
6,5,urn:cts:greekLit:tlg0011.tlg004.fu04:6.5,urn:cite2:fuSyntax:0011004sentences.v1:2386548,3,urn:cite2:fuSyntax:0011004tokens.v1:2386548_5,38,urn:cite2:fuSyntax:0011004tokens.v1:2386548_4,ἀγγέλων,ἄγγελος1,urn:cite2:fuSyntax:pos.v1:noun,null,urn:cite2:fuSyntax:number.v1:plural,null,null,null,urn:cite2:fuSyntax:gender.v1:masculine,urn:cite2:fuSyntax:case.v1:genitive,null,παρά1,OBJ,Οἰδίπους
6,6,urn:cts:greekLit:tlg0011.tlg004.fu04:6.6,urn:cite2:fuSyntax:0011004sentences.v1:2386548,3,urn:cite2:fuSyntax:0011004tokens.v1:2386548_6,39,urn:cite2:fuSyntax:0011004tokens.v1:2386548_7,",",comma1,urn:cite2:fuSyntax:pos.v1:punctuation,null,null,null,null,null,null,null,null,τέκνον1,AuxX,Οἰδίπους
6,7,urn:cts:greekLit:tlg0011.tlg004.fu04:6.7,urn:cite2:fuSyntax:0011004sentences.v1:2386548,3,urn:cite2:fuSyntax:0011004tokens.v1:2386548_7,40,urn:cite2:fuSyntax:0011004tokens.v1:2386548_13,τέκνα,τέκνον1,urn:cite2:fuSyntax:pos.v1:noun,null,urn:cite2:fuSyntax:number.v1:plural,null,null,null,urn:cite2:fuSyntax:gender.v1:neuter,urn:cite2:fuSyntax:case.v1:vocative,null,ἔρχομαι1,ExD,Οἰδίπους
6,8,urn:cts:greekLit:tlg0011.tlg004.fu04:6.8,urn:cite2:fuSyntax:0011004sentences.v1:2386548,3,urn:cite2:fuSyntax:0011004tokens.v1:2386548_8,41,urn:cite2:fuSyntax:0011004tokens.v1:2386548_7,",",comma1,urn:cite2:fuSyntax:pos.v1:punctuation,null,null,null,null,null,null,null,null,τέκνον1,AuxX,Οἰδίπους
7,1,urn:cts:greekLit:tlg0011.tlg004.fu04:7.1,urn:cite2:fuSyntax:0011004sentences.v1:2386548,3,urn:cite2:fuSyntax:0011004tokens.v1:2386548_9,42,urn:cite2:fuSyntax:0011004tokens.v1:2386548_5,ἄλλων,ἄλλος1,urn:cite2:fuSyntax:pos.v1:adjective,null,urn:cite2:fuSyntax:number.v1:plural,null,null,null,urn:cite2:fuSyntax:gender.v1:masculine,urn:cite2:fuSyntax:case.v1:genitive,null,ἄγγελος1,ATR,Οἰδίπους
7,2,urn:cts:greekLit:tlg0011.tlg004.fu04:7.2,urn:cite2:fuSyntax:0011004sentences.v1:2386548,3,urn:cite2:fuSyntax:0011004tokens.v1:2386548_10,43,urn:cite2:fuSyntax:0011004tokens.v1:2386548_2,ἀκούειν,ἀκούω1,urn:cite2:fuSyntax:pos.v1:verb,null,null,urn:cite2:fuSyntax:tense.v1:present,urn:cite2:fuSyntax:mood.v1:infinitive,urn:cite2:fuSyntax:voice.v1:active,null,null,null,δικαιόω1,OBJ,Οἰδίπους
7,3,urn:cts:greekLit:tlg0011.tlg004.fu04:7.3,urn:cite2:fuSyntax:0011004sentences.v1:2386548,3,urn:cite2:fuSyntax:0011004tokens.v1:2386548_11,44,urn:cite2:fuSyntax:0011004tokens.v1:2386548_13,αὐτὸς,αὐτός1,urn:cite2:fuSyntax:pos.v1:adjective,null,urn:cite2:fuSyntax:number.v1:singular,null,null,null,urn:cite2:fuSyntax:gender.v1:masculine,urn:cite2:fuSyntax:case.v1:nominative,null,ἔρχομαι1,AtvV,Οἰδίπους
7,4,urn:cts:greekLit:tlg0011.tlg004.fu04:7.4,urn:cite2:fuSyntax:0011004sentences.v1:2386548,3,urn:cite2:fuSyntax:0011004tokens.v1:2386548_12,45,urn:cite2:fuSyntax:0011004tokens.v1:2386548_13,ὧδʼ,ὧδε1,urn:cite2:fuSyntax:pos.v1:adverb,null,null,null,null,null,null,null,null,ἔρχομαι1,ADV,Οἰδίπους
7,5,urn:cts:greekLit:tlg0011.tlg004.fu04:7.5,urn:cite2:fuSyntax:0011004sentences.v1:2386548,3,urn:cite2:fuSyntax:0011004tokens.v1:2386548_13,46,urn:cite2:fuSyntax:0011004tokens.v1:2386548_0,ἐλήλυθα,ἔρχομαι1,urn:cite2:fuSyntax:pos.v1:verb,urn:cite2:fuSyntax:person.v1:first_person,urn:cite2:fuSyntax:number.v1:singular,urn:cite2:fuSyntax:tense.v1:perfect,urn:cite2:fuSyntax:mood.v1:indicative,urn:cite2:fuSyntax:voice.v1:active,null,null,null,-,PRED,Οἰδίπους
7,6,urn:cts:greekLit:tlg0011.tlg004.fu04:7.6,urn:cite2:fuSyntax:0011004sentences.v1:2386548,3,urn:cite2:fuSyntax:0011004tokens.v1:2386548_14,47,urn:cite2:fuSyntax:0011004tokens.v1:2386548_13,",",comma1,urn:cite2:fuSyntax:pos.v1:punctuation,null,null,null,null,null,null,null,null,ἔρχομαι1,APOS,Οἰδίπους
8,1,urn:cts:greekLit:tlg0011.tlg004.fu04:8.1,urn:cite2:fuSyntax:0011004sentences.v1:2386548,3,urn:cite2:fuSyntax:0011004tokens.v1:2386548_15,48,urn:cite2:fuSyntax:0011004tokens.v1:2386548_19,ὁ,ὁ1,urn:cite2:fuSyntax:pos.v1:article,null,urn:cite2:fuSyntax:number.v1:singular,null,null,null,urn:cite2:fuSyntax:gender.v1:masculine,urn:cite2:fuSyntax:case.v1:nominative,null,καλέω1,ATR,Οἰδίπους
8,2,urn:cts:greekLit:tlg0011.tlg004.fu04:8.2,urn:cite2:fuSyntax:0011004sentences.v1:2386548,3,urn:cite2:fuSyntax:0011004tokens.v1:2386548_16,49,urn:cite2:fuSyntax:0011004tokens.v1:2386548_19,πᾶσι,πᾶς1,urn:cite2:fuSyntax:pos.v1:adjective,null,urn:cite2:fuSyntax:number.v1:plural,null,null,null,urn:cite2:fuSyntax:gender.v1:masculine,urn:cite2:fuSyntax:case.v1:dative,null,καλέω1,OBJ,Οἰδίπους
8,3,urn:cts:greekLit:tlg0011.tlg004.fu04:8.3,urn:cite2:fuSyntax:0011004sentences.v1:2386548,3,urn:cite2:fuSyntax:0011004tokens.v1:2386548_17,50,urn:cite2:fuSyntax:0011004tokens.v1:2386548_18,κλεινὸς,κλεινός1,urn:cite2:fuSyntax:pos.v1:adjective,null,urn:cite2:fuSyntax:number.v1:singular,null,null,null,urn:cite2:fuSyntax:gender.v1:masculine,urn:cite2:fuSyntax:case.v1:nominative,null,Οἰδίπους1,ATR,Οἰδίπους
8,4,urn:cts:greekLit:tlg0011.tlg004.fu04:8.4,urn:cite2:fuSyntax:0011004sentences.v1:2386548,3,urn:cite2:fuSyntax:0011004tokens.v1:2386548_18,51,urn:cite2:fuSyntax:0011004tokens.v1:2386548_19,Οἰδίπους,Οἰδίπους1,urn:cite2:fuSyntax:pos.v1:noun,null,urn:cite2:fuSyntax:number.v1:singular,null,null,null,urn:cite2:fuSyntax:gender.v1:masculine,urn:cite2:fuSyntax:case.v1:nominative,null,καλέω1,PNOM,Οἰδίπους
8,5,urn:cts:greekLit:tlg0011.tlg004.fu04:8.5,urn:cite2:fuSyntax:0011004sentences.v1:2386548,3,urn:cite2:fuSyntax:0011004tokens.v1:2386548_19,52,urn:cite2:fuSyntax:0011004tokens.v1:2386548_14,καλούμενος,καλέω1,urn:cite2:fuSyntax:pos.v1:participle,null,urn:cite2:fuSyntax:number.v1:singular,urn:cite2:fuSyntax:tense.v1:present,urn:cite2:fuSyntax:mood.v1:participial,urn:cite2:fuSyntax:voice.v1:medio_passive,urn:cite2:fuSyntax:gender.v1:masculine,urn:cite2:fuSyntax:case.v1:nominative,null,comma1,SBJ_AP,Οἰδίπους
8,6,urn:cts:greekLit:tlg0011.tlg004.fu04:8.6,urn:cite2:fuSyntax:0011004sentences.v1:2386548,3,urn:cite2:fuSyntax:0011004tokens.v1:2386548_20,53,urn:cite2:fuSyntax:0011004tokens.v1:2386548_0,.,period1,urn:cite2:fuSyntax:pos.v1:punctuation,null,null,null,null,null,null,null,null,-,AuxK,Οἰδίπους
9,1,urn:cts:greekLit:tlg0011.tlg004.fu04:9.1,urn:cite2:fuSyntax:0011004sentences.v1:2386549,4,urn:cite2:fuSyntax:0011004tokens.v1:2386549_1,54,urn:cite2:fuSyntax:0011004tokens.v1:2386549_5,ἀλλʼ,ἀλλά1,urn:cite2:fuSyntax:pos.v1:conjunction,null,null,null,null,null,null,null,null,φράζω1,AuxY,Οἰδίπους
9,2,urn:cts:greekLit:tlg0011.tlg004.fu04:9.2,urn:cite2:fuSyntax:0011004sentences.v1:2386549,4,urn:cite2:fuSyntax:0011004tokens.v1:2386549_2,55,urn:cite2:fuSyntax:0011004tokens.v1:2386549_3,ὦ,ὦ1,urn:cite2:fuSyntax:pos.v1:exclamation,null,null,null,null,null,null,null,null,γεραιός1,AuxZ,Οἰδίπους
9,3,urn:cts:greekLit:tlg0011.tlg004.fu04:9.3,urn:cite2:fuSyntax:0011004sentences.v1:2386549,4,urn:cite2:fuSyntax:0011004tokens.v1:2386549_3,56,urn:cite2:fuSyntax:0011004tokens.v1:2386549_5,γεραιέ,γεραιός1,urn:cite2:fuSyntax:pos.v1:adjective,null,urn:cite2:fuSyntax:number.v1:singular,null,null,null,urn:cite2:fuSyntax:gender.v1:masculine,urn:cite2:fuSyntax:case.v1:vocative,null,φράζω1,ExD,Οἰδίπους
9,4,urn:cts:greekLit:tlg0011.tlg004.fu04:9.4,urn:cite2:fuSyntax:0011004sentences.v1:2386549,4,urn:cite2:fuSyntax:0011004tokens.v1:2386549_4,57,urn:cite2:fuSyntax:0011004tokens.v1:2386549_3,",",comma1,urn:cite2:fuSyntax:pos.v1:punctuation,null,null,null,null,null,null,null,null,γεραιός1,AuxX,Οἰδίπους
